genes,signedlogP
Ala_1098,NA
Ala_1107,NA
Ala_1112,NA
Ala_1113,NA
Ala_1114,NA
Ala_1115,NA
Ala_1116,NA
Ala_1117,NA
Ala_1144,NA
Ala_1158,NA
Ala_1161,NA
Ala_1233,NA
Ala_1235,NA
Ala_1238,NA
Ala_1240,NA
Ala_1243,NA
Ala_1244,NA
Ala_1245,NA
Ala_1269,NA
Ala_1291,NA
Ala_1292,NA
Ala_1293,NA
Ala_1294,NA
Ala_1295,NA
Ala_1296,NA
Ala_1297,NA
Ala_1298,NA
Ala_1299,NA
Ala_1300,NA
Ala_1301,NA
Ala_1302,NA
Ala_1314,NA
Ala_1337,NA
Ala_1338,NA
Ala_1359,0.166742788037835
Ala_1419,NA
Ala_1447,NA
Ala_1486,NA
Ala_1490,NA
Ala_1491,NA
Ala_1492,NA
Ala_1493,NA
Ala_1494,NA
Ala_1501,NA
Ala_1552,NA
Ala_1554,NA
Ala_1557,NA
Ala_1560,NA
Ala_1562,NA
Ala_1564,NA
Ala_1565,NA
Ala_1611,NA
Ala_1612,NA
Ala_1613,NA
Ala_1630,NA
Ala_1760,NA
Ala_1824,NA
Ala_1825,NA
Ala_1826,NA
Ala_1827,NA
Ala_1828,NA
Ala_1829,NA
Ala_1830,NA
Ala_1831,NA
Ala_1832,NA
Ala_186,NA
Ala_1935,NA
Ala_1983,NA
Ala_1984,NA
Ala_1985,NA
Ala_1986,NA
Ala_2079,NA
Ala_2085,NA
Ala_2121,NA
Ala_2230,NA
Ala_2245,NA
Ala_2246,NA
Ala_2247,NA
Ala_2248,NA
Ala_2249,NA
Ala_2304,NA
Ala_2437,NA
Ala_2456,NA
Ala_246,NA
Ala_247,NA
Ala_248,NA
Ala_2550,NA
Ala_2551,NA
Ala_2552,NA
Ala_2553,NA
Ala_2554,NA
Ala_2555,NA
Ala_2556,NA
Ala_2557,NA
Ala_2558,NA
Ala_2559,NA
Ala_2644,NA
Ala_2788,NA
Ala_2789,0.0247278799713973
Ala_2790,NA
Ala_2791,0.124970851910788
Ala_2792,NA
Ala_2793,NA
Ala_2794,NA
Ala_2899,0.124970851910788
Ala_2934,NA
Ala_2935,NA
Ala_2936,NA
Ala_2937,NA
Ala_2940,NA
Ala_2941,NA
Ala_2979,NA
Ala_2980,NA
Ala_2981,NA
Ala_2982,NA
Ala_2983,NA
Ala_2984,NA
Ala_2985,NA
Ala_2986,NA
Ala_2987,NA
Ala_3008,0.0247278799713972
Ala_3060,NA
Ala_3061,NA
Ala_3062,NA
Ala_3067,NA
Ala_3068,NA
Ala_3124,NA
Ala_3127,NA
Ala_3211,NA
Ala_3215,NA
Ala_3216,NA
Ala_3217,NA
Ala_3218,NA
Ala_3219,NA
Ala_3220,NA
Ala_3265,NA
Ala_3266,NA
Ala_3267,NA
Ala_3268,NA
Ala_3269,NA
Ala_3270,NA
Ala_3271,NA
Ala_3272,NA
Ala_3273,NA
Ala_3274,NA
Ala_3275,NA
Ala_3276,NA
Ala_3277,NA
Ala_3384,NA
Ala_3385,NA
Ala_3386,NA
Ala_3387,NA
Ala_3388,NA
Ala_3389,NA
Ala_3390,NA
Ala_3391,NA
Ala_3392,NA
Ala_3449,NA
Ala_3450,0.124970851910788
Ala_3451,NA
Ala_3452,NA
Ala_3580,NA
Ala_3591,NA
Ala_3627,NA
Ala_3628,NA
Ala_3629,NA
Ala_3682,NA
Ala_3683,NA
Ala_3684,NA
Ala_3685,NA
Ala_3694,NA
Ala_3717,NA
Ala_3758,0.0247278799713973
Ala_3762,NA
Ala_3777,NA
Ala_4042,NA
Ala_4069,NA
Ala_4134,NA
Ala_419,NA
Ala_4195,NA
Ala_420,NA
Ala_4201,NA
Ala_4202,NA
Ala_4206,NA
Ala_4207,NA
Ala_4211,NA
